Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,124.75,-108.56,0.0,top
C2,0.1uF,C_0402_1005Metric,124.6,-107.2,0.0,top
C3,0.1uF,C_0402_1005Metric,125.15,-103.4,90.0,top
C4,10pF,C_0402_1005Metric,123.05,-103.4,-90.0,top
C5,22uF,C_0805_2012Metric,128.7,-108.53,180.0,top
C6,22uF,C_0805_2012Metric,128.72,-106.75,180.0,top
IC1,TPS563203DRLR,SOTFL50P160X60-6N,124.65,-105.5,90.0,top
L1,3.3uH,IND-SMD_L4.0-W4.0,128.25,-103.45,0.0,top
R1,100k,R_0402_1005Metric,123.05,-105.9,90.0,top
R2,12k,R_0402_1005Metric,123.9,-103.4,-90.0,top
